Country,Year,total_pollutant,total_waste
Slovenia,2016,119243408.00,9016840.71
Slovenia,2017,125150256.00,8589574.17
Slovenia,2018,135265770.00,10380074.30
Slovenia,2019,152899142.00,10986566.36
Slovenia,2020,151068365.28,11492202.72
Spain,2007,12341858173.68,6159802504.12
Spain,2008,7157237054.10,5174349246.36
Spain,2009,3667164782.20,3653626213.51
Spain,2010,6368796725.88,3272345818.56
Spain,2011,6726553919.46,3778856760.60
Spain,2012,7788113398.52,2909706912.36
Spain,2013,27645009002.30,3297704606.60
Spain,2014,14855914726.94,2839388267.52
Spain,2015,14470789420.50,2251075991.02
Spain,2016,15977299848.48,2513540728.92
Spain,2017,8996205620.26,313166120.40
Spain,2018,27207604877.20,3452782577.60
Spain,2019,30794044340.15,2809296957.78
Spain,2020,18955214667.40,2321777096.10
Sweden,2007,2165928966.87,159244221.15
Sweden,2008,2395616956.25,201806036.08
Sweden,2009,1804923510.40,180040256.90
Sweden,2010,2261174100.30,267506600.80
Sweden,2011,2409119991.60,274042753.56
Sweden,2012,2088588229.20,207689278.96
Sweden,2013,1435318958.32,201738313.00
Sweden,2014,1361070175.08,257274120.00
Sweden,2015,1412319876.00,252532504.42
Sweden,2016,1321198927.26,236118484.88
Sweden,2017,1487242092.60,224288798.31
Sweden,2018,1539949782.00,243311069.12
Sweden,2019,1588232157.00,232464951.16
Sweden,2020,1474584399.00,231870878.91
Switzerland,2007,3932631801.82,168384916.44
Switzerland,2008,5179412326.00,239565245.92
Switzerland,2009,4262771922.51,232644427.88
Switzerland,2010,5506101525.10,240337947.42
Switzerland,2011,5210085975.84,249814301.85
Switzerland,2012,4374056330.60,242046192.64
Switzerland,2013,4867911002.59,195737581.08
Switzerland,2014,4891436552.52,206597858.40
Switzerland,2015,5203867006.52,222229286.24
Switzerland,2016,5965498543.63,239751292.48
Switzerland,2017,6146078489.28,260115117.08
Switzerland,2018,6381583736.68,240306638.88
Switzerland,2019,6863190563.97,241740923.58
"United Kingdom",2007,58194117103.67,31166000285.76
"United Kingdom",2008,49933887424.32,29359083163.40
"United Kingdom",2009,77443244459.86,24214182470.80
"United Kingdom",2010,18836667913.65,26402048666.91
"United Kingdom",2011,12424108726.97,26875808715.16
"United Kingdom",2012,15272403105.96,31965517430.70
"United Kingdom",2013,14926398652.90,31117228635.69
"United Kingdom",2014,25905112773.92,29777782649.04
"United Kingdom",2015,12938844372.86,30488167840.61
"United Kingdom",2016,13151728295.09,25842186719.52
"United Kingdom",2017,13039019731.74,27578367405.66
"United Kingdom",2018,10783152983.20,24497331543.36
"United Kingdom",2019,10889601456.69,23204648073.60
